ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
FDX,2002-01-07,27.8819283888989,2002-01-14,26.274842307801123,21045,26.41761873302062,0.7321548279391391,1.464309655878278,-33821.1265767027,-34163.045348496315,-1.0975042571401077,stop_loss,7,-1.0975042571401077,176.03255488331317,165.88621691030238
INTC,2002-01-04,20.66105023256261,2002-01-17,19.39511459974602,28417,19.221983457707797,0.7195333874274062,1.4390667748548118,-35974.09287774901,-36315.57568856093,-0.8796920719292612,stop_loss,13,-0.8796920719292612,176.13751933761952,165.3452914742948
IP,2002-03-05,17.937511139938625,2002-03-14,17.235016162886982,32600,17.0687141023088,0.43439851881491265,0.8687970376298253,-22901.336251883557,-23245.32356890519,-0.808583531739619,stop_loss,9,-0.808583531739619,175.42885894859972,168.5584580730347
LEN,2002-03-05,19.71809869111614,2002-03-18,18.477336598837038,29656,18.44412540329223,0.6369866439119557,1.2739732878239103,-36796.040608629046,-37135.857757316706,-0.9739310110641826,stop_loss,13,-0.9739310110641826,175.42798043512207,164.38916825253335
WFC-WS,2002-03-18,50.800749999999994,2002-03-22,49.150800999,5751,49.1101673784741,0.8452913107629468,1.6905826215258912,-9488.856704750977,-9661.30311568955,-0.9759647236352045,stop_loss,4,-0.9759647236352045,87.64653397499998,84.79987696357469
WFC,2002-03-18,12.983232952284968,2002-03-22,12.561552461197484,22503,12.551671109288828,0.21578092149807065,0.43156184299614075,-9489.07609094165,-9661.526382789529,-0.9771032771570927,stop_loss,4,-0.9771032771570927,87.6485073375806,84.80178451029809
TT,2002-03-05,14.196971817129263,2002-03-25,13.490064093114032,41190,13.475551528972861,0.3607101440782006,0.721420288156402,-29117.529152187366,-29459.657854930243,-0.9798833434830923,stop_loss,20,-0.9798833434830923,175.43198074426633,166.69672199861012
NKE,2002-03-15,5.656360844124173,2002-03-25,5.351832946423287,102483,5.40819410447119,0.1240833698264913,0.24816673965298275,-31208.932540079837,-31547.378357350837,-1.2271100395109906,stop_loss,10,-1.2271100395109906,173.90424851651326,164.54156875448933
WMT,2002-03-18,13.696633220974086,2002-03-25,13.242299710210375,42662,13.20725400021303,0.24468961038052753,0.4893792207610552,-19382.77623620142,-19727.556863214475,-0.9283874171387099,stop_loss,7,-0.9283874171387099,175.29772994195892,169.4828970710985
WY,2002-03-18,10.955826265766506,2002-03-25,10.282410874897218,53334,10.386998151981494,0.28441405689250565,0.5688281137850115,-35915.93645662258,-36255.752498520626,-1.1838644654680424,stop_loss,7,-1.1838644654680424,175.29541141751724,164.52063048053049
CAT,2002-03-05,16.33861543994386,2002-03-26,15.448489774041477,35790,15.489276069748511,0.4246696850976749,0.8493393701953504,-31857.597582646362,-32198.89573132892,-1.0480211999329003,stop_loss,21,-1.0480211999329003,175.42771397867725,165.87043470388335
RTN,2002-03-18,25.84565752242395,2002-03-26,24.420408703866077,22608,24.424117805875547,0.7107698582742017,1.421539716548402,-32222.02528995637,-32562.94985752956,-1.0026092144779999,stop_loss,8,-1.0026092144779999,175.29558758008818,165.62897999310127
NUE,2002-03-28,8.608214515097973,2002-04-02,7.8289616171212995,66597,8.130862363979658,0.23867607555915807,0.47735215111831586,-51895.90524655255,-52224.305232215775,-1.6324486988297437,stop_loss,5,-1.6324486988297437,171.98437861859392,156.41560704462816
KSS,2002-03-28,36.531855050573235,2002-04-04,34.304661644944986,15692,34.7563894599044,0.8877327953344191,1.775465590668837,-34949.11892111848,-35282.5889071143,-1.2544278060546592,stop_loss,7,-1.2544278060546592,171.9773608360786,161.492625159743
GEN,2002-03-05,3.699741196781532,2002-04-05,3.3555286387580696,158058,3.3152112658950608,0.19226496544323554,0.38452993088647114,-54405.548496072406,-54740.09104797212,-0.8951515353562629,stop_loss,31,-0.8951515353562629,175.43210822426863,159.11044367544687
FISV,2002-03-08,11.353842499999999,2002-04-10,10.696792499999999,51270,10.654559876938112,0.349641311530943,0.6992826230618867,-33686.953499999996,-34026.11431693499,-0.9396057878902144,stop_loss,33,-0.9396057878902144,174.63345149249997,164.52736544249998
JNJ,2002-03-08,33.409449009202056,2002-04-12,32.46253250513082,17423,32.250139930986805,0.5796545391076251,1.1593090782152515,-16498.126250433208,-16842.432510610473,-0.8167938316579141,trailing_stop,35,-0.8167938316579141,174.62784902619822,169.67841115106827
BAX,2002-03-18,20.297704207569353,2002-04-18,19.76733917961298,28787,19.5095756335156,0.3940642870268763,0.7881285740537542,-15267.61805978016,-15613.623780976204,-0.6729422652809455,trailing_stop,31,-0.6729422652809455,175.2930033069897,170.71271788905565
KLAC,2002-03-05,3.4680213809451006,2002-04-25,3.1271456186293833,168618,3.166853024700928,0.15058417812208622,0.3011683562441725,-57477.78929015161,-57811.40845089189,-1.1318445488985966,stop_loss,51,-1.1318445488985966,175.4312487636603,158.18791197661483
MCHP,2002-04-17,8.669925837664783,2002-04-25,7.8510046185290925,33020,7.9756006283711525,0.34716260464681536,0.6943252092936305,-27040.7786558605,-27204.434992959556,-1.1794490653289362,stop_loss,8,-1.1794490653289362,85.88428534790734,77.77205175114919
SBUX,2002-03-05,4.4219307555094165,2002-04-29,4.3376109877563565,132244,4.116476082942207,0.15272733628360444,0.30545467256720915,-11150.783366735674,-11498.302418224604,-0.27604674384055194,trailing_stop,55,-0.27604674384055194,175.43214324947618,172.08690823945548
PGR,2002-03-20,7.162552920440189,2002-04-30,7.471363771276631,81792,6.900721244854941,0.1309158377926239,0.2618316755852481,25258.2571116143,24899.175917399632,1.1794251025823599,trailing_stop,41,1.1794251025823599,175.7518585405932,183.32933567407747
UPS,2002-03-05,28.800685945831123,2002-05-07,28.74795349076166,20304,28.113694306298022,0.3434958197665511,0.686991639533101,-1070.6797677303903,-1421.2200402665642,-0.07675851063529993,trailing_stop,63,-0.07675851063529993,175.43073823324656,175.10953430292741
THC,2002-04-03,181.514666666633,2002-05-14,188.47800000003295,3131,173.96667693031193,3.7739948681605346,7.547989736321057,21802.196666875272,21454.662555075272,0.9225414417155707,trailing_stop,41,0.9225414417155707,170.49672639996837,177.03738540003096
FITB,2002-03-05,31.992316589566794,2002-05-21,31.843358173770095,18278,30.75792384232246,0.6171963736221681,1.2343927472443355,-2722.6619239320603,-3072.6984629293415,-0.1206734373069141,trailing_stop,77,-0.1206734373069141,175.42666878723054,174.60987021005096
PG,2002-03-20,23.515090557565525,2002-05-29,23.055316790856185,24913,22.64737497820027,0.43385778968262867,0.8677155793652567,-11454.343850029782,-11802.40641751115,-0.5298669029841199,trailing_stop,70,-0.5298669029841199,175.74943531818897,172.31313216318003
KO,2002-03-27,12.999427288346103,2002-05-29,13.508851072943267,44025,12.520132149648083,0.23964756934901002,0.47929513869802065,22427.38211689015,22077.27403043342,1.0628603202214533,trailing_stop,63,1.0628603202214533,171.68993591083117,178.41815054589821
BAC,2002-03-05,17.384515136886666,2002-06-07,18.234056425905912,33637,16.57441934624804,0.4050478953193141,0.810095790638627,28576.020338740385,28216.58977124309,1.048692387784811,trailing_stop,94,1.048692387784811,175.42888069783703,184.00168679945915
CAT,2003-03-24,15.019209610443475,2003-03-28,14.464465084566628,38863,14.181904692100105,0.4186524591716857,0.8373049183433707,-21559.036509151916,-21902.78372405357,-0.6625358501111203,stop_loss,4,-0.6625358501111203,175.10746292719944,168.63975197445387
MMM,2003-03-24,29.06549491890876,2003-04-17,28.32889865612155,10041,27.96875511948529,0.5483698997117358,1.0967397994234709,-7396.163074646405,-7569.052206412469,-0.67162353657123,trailing_stop,24,-0.67162353657123,87.55399034422886,85.33514142183495
