ticker,entry_date,entry_price,exit_date,exit_price,shares,stop_loss,atr_at_entry,R,gross_pnl,net_pnl,pnl_r_multiple,exit_reason,holding_days,gap_adjusted_loss_multiple,entry_commission,exit_commission
EXC,2004-11-02,12.612089666956907,2004-11-03,12.486994728740925,40201,12.227691920161087,0.19219887339790998,0.38439774679581973,-5028.9416112206945,-5331.644098758129,-0.3254309871967815,stop_loss,1,-0.3254309871967815,152.10558501040038,150.59690252703416
AMD,2004-11-03,18.1181,2004-11-04,17.132849999999998,27842,17.025105385237428,0.5464973073812845,1.0929946147625706,-27431.33050000002,-27725.767584970017,-0.9014225566097824,stop_loss,1,-0.9014225566097824,151.33324205999998,143.10384291
AVTA,2004-10-28,20.597206008942436,2004-11-17,17.549629699727415,24550,18.682531914905205,0.9573370470186156,1.914674094037231,-74817.99839122877,-75098.94983622314,-1.5916945441033163,stop_loss,20,-1.5916945441033163,151.69842225586103,129.25302273849243
PGR,2004-10-28,12.253048181034655,2004-11-22,12.192822136547576,41268,11.868508134014988,0.19227002350983338,0.3845400470196676,-2485.408403892777,-2788.0580567725724,-0.156618393724799,trailing_stop,25,-0.156618393724799,151.69763770048147,150.9520151793136
ABT,2004-11-04,12.896932861510807,2004-11-22,12.664565008477963,39484,12.480119162009064,0.20840684975087181,0.4168136995017431,-9174.812309148827,-9477.593363718417,-0.5574861222426606,trailing_stop,18,-0.5574861222426606,152.7667491311678,150.01430543842315
TZOO,2004-11-02,89.14905999999999,2004-11-23,75.459465,5687,76.52621329821864,6.3114233508906805,12.622846701781356,-77852.72676499998,-78133.56536950248,-1.084509328475652,trailing_stop,21,-1.084509328475652,152.097211266,128.7413932365
AMD,2004-11-18,21.521499999999996,2004-11-23,21.2787,24580,20.013398407786962,0.7540507961065168,1.508101592213034,-5968.0239999998885,-6283.632674799888,-0.16099711137079523,stop_loss,5,-0.16099711137079523,158.69954099999998,156.9091338
DUK,2004-10-28,16.034142867447756,2004-12-02,16.416346539994514,31537,15.547710596511598,0.24321613546807921,0.4864322709361577,12053.557221107118,11746.539895774366,0.7857284464519441,trailing_stop,35,0.7857284464519441,151.70062908320995,155.3166962495421
EOG,2004-11-23,12.524893553878822,2004-12-03,11.875895471795253,42366,11.888014478960702,0.3184395374590602,0.6368790749181201,-27495.452745552484,-27805.581893910996,-1.0190287413148358,stop_loss,10,-1.0190287413148358,159.18889209108903,150.9402562674233
DVN,2004-11-24,24.700827062820107,2004-12-03,23.715034920566172,10772,23.686533674855934,0.5071466939820859,1.0142933879641731,-10618.952956359386,-10775.413655944898,-0.9719003928760256,stop_loss,9,-0.9719003928760256,79.82319273620946,76.63750684930164
ANF,2004-11-24,31.327882359522985,2004-12-03,30.112869274458003,16987,29.703862347997724,0.8120100057626299,1.6240200115252605,-20639.42727599884,-20952.535490400773,-0.7481515476671101,stop_loss,9,-0.7481515476671101,159.6500212923651,153.45819310956543
TGT,2004-11-01,29.875348282114977,2004-12-08,30.447477782096083,16963,28.7620931004718,0.556627590821587,1.1132551816431757,9705.032708179497,9398.055878621333,0.513924847972984,trailing_stop,37,0.513924847972984,152.0326598728549,154.94416968530876
ELV,2004-12-02,42.779205953632065,2004-12-08,40.71717130103326,6356,40.7441119189845,1.0175470173237826,2.035094034647564,-13106.292251918,-13265.503144067196,-1.013238021188493,stop_loss,6,-1.013238021188493,81.57138991238561,77.63950223681022
